Country;Year;Nuclear_weapons
USA;1945;2
USA;1946;9
USA;1947;13
USA;1948;50
USA;1949;170
USA;1950;299
USA;1951;438
USA;1952;841
USA;1953;1169
USA;1954;1703
USA;1955;2422
USA;1956;3692
USA;1957;5543
USA;1958;7345
USA;1959;12298
USA;1960;18638
USA;1961;22229
USA;1962;25540
USA;1963;28133
USA;1964;29463
USA;1965;31139
USA;1966;31175
USA;1967;31255
USA;1968;29561
USA;1969;27552
USA;1970;26008
USA;1971;25830
USA;1972;26516
USA;1973;27835
USA;1974;28537
USA;1975;27519
USA;1976;25914
USA;1977;25542
USA;1978;24418
USA;1979;24138
USA;1980;24104
USA;1981;23208
USA;1982;22886
USA;1983;23305
USA;1984;23459
USA;1985;23368
USA;1986;23317
USA;1987;23575
USA;1988;23205
USA;1989;22217
USA;1990;21392
USA;1991;19008
USA;1992;13708
USA;1993;11511
USA;1994;10979
USA;1995;10904
USA;1996;11011
USA;1997;10903
USA;1998;10732
USA;1999;10685
USA;2000;10577
USA;2001;10526
USA;2002;10457
USA;2003;10027
USA;2004;8570
USA;2005;8360
USA;2006;7853
USA;2007;5709
USA;2008;5273
USA;2009;5113
USA;2010;5066
USA;2011;4897
USA;2012;4881
USA;2013;4804
USA;2014;4717
USA;2015;4571
USA;2016;4018
USA;2017;3822
USA;2018;3785
USA;2019;3805
USA;2020;3750
USA;2021;3708
USA;2022;3708